,mean_power_W,energy_Wh,duration_s
Hanoi_seed3_ep1_080102,95.45413793103447,1.5243804692166663,57.491166
Hanoi_seed3_ep2_080204,100.848085106383,1.3267712182445628,47.362093
Hanoi_seed3_ep3_080256,101.0959574468085,1.3361391305027777,47.579557
Hanoi_seed3_ep4_080349,99.07041666666667,1.3284664793037038,48.273536
Hanoi_seed3_ep5_080441,100.2695652173913,1.308895424557971,46.993557
Hanoi_seed3_ep6_080532,100.26304347826087,1.313755125352657,47.171104
Hanoi_seed3_ep7_080622,98.96914893617023,1.305621768795804,47.491955
Hanoi_seed3_ep8_080715,98.96361702127659,1.300973125311702,47.325506
Hanoi_seed3_ep9_080807,98.87595744680853,1.3135890671158394,47.8268
Hanoi_seed3_ep10_080900,99.52744680851063,1.3072376931572693,47.283999
Hanoi_seed3_ep11_080950,99.27638297872342,1.3166669003721634,47.745503
Hanoi_seed3_ep12_081043,98.88808510638299,1.3122924655182036,47.773732
Hanoi_seed3_ep13_081135,98.95765957446808,1.2967677796789596,47.175368
Hanoi_seed3_ep14_081225,100.02340425531915,1.3272475319391253,47.769731
Hanoi_seed3_ep15_081318,98.73791666666665,1.3302170157710644,48.499922
Hanoi_seed3_ep16_081410,99.19063829787235,1.2999550059600475,47.180239
Hanoi_seed3_ep17_081503,98.77520833333334,1.3232236129610533,48.226727
Hanoi_seed3_ep18_081555,99.07468085106382,1.3051720045079784,47.425025
Hanoi_seed3_ep19_081647,98.88829787234043,1.2961773480097518,47.186963
Hanoi_seed3_ep20_081738,99.00829787234044,1.3027675197734043,47.369394
Hanoi_seed3_ep21_081830,98.55936170212765,1.3134792588758861,47.97642
Hanoi_seed3_ep22_081923,98.69680851063829,1.312359016001773,47.868746
Hanoi_seed3_ep23_082015,98.62404255319149,1.3041912162466311,47.605921
Hanoi_seed3_ep24_082108,99.09021276595746,1.308039748065721,47.521778
Hanoi_seed3_ep25_082200,98.6108510638298,1.3158011265433807,48.036134
Hanoi_seed3_ep26_082252,99.11829787234043,1.324573293182033,48.108815
Hanoi_seed3_ep27_082345,99.57234042553192,1.3178988391666666,47.64813
Hanoi_seed3_ep28_082437,99.56489361702128,1.3130104857872342,47.474944
Hanoi_seed3_ep29_082530,98.5163829787234,1.2944478044503547,47.3019
Hanoi_seed3_ep30_082622,97.59791666666666,1.3085923244560185,48.26878
Hanoi_seed3_ep31_082715,98.83468085106384,1.3031348826641844,47.465986
Hanoi_seed3_ep32_082807,98.88723404255317,1.3184402255206853,47.997953
Hanoi_seed3_ep33_082900,97.99645833333334,1.323939284047801,48.636262
Hanoi_seed3_ep34_082952,98.51851063829788,1.29662297159539,47.380362
Hanoi_seed3_ep35_083045,98.76170212765959,1.3106562612588655,47.775225
Hanoi_seed3_ep36_083137,98.80617021276598,1.3122283337930263,47.811002
Hanoi_seed3_ep37_083229,98.23645833333335,1.3245239414221646,48.538865
Hanoi_seed3_ep38_083322,98.47297872340425,1.3069189856206858,47.778674
Hanoi_seed3_ep39_083414,99.75191489361703,1.3250186508000001,47.819304
Hanoi_seed3_ep40_083507,98.46125,1.327482989510764,48.536239
Hanoi_seed3_ep41_083559,98.01583333333333,1.3205419200631943,48.501867
Hanoi_seed3_ep42_083652,99.20148936170213,1.315987944253546,47.75691
Hanoi_seed3_ep43_083744,98.7495744680851,1.3060081905489953,47.611643
Hanoi_seed3_ep44_083837,98.93765957446809,1.3083417164468085,47.60604
Hanoi_seed3_ep45_083929,98.76446808510639,1.3064355335531914,47.62004
Hanoi_seed3_ep46_084022,98.43395833333334,1.3197611437280674,48.267287
Hanoi_seed3_ep47_084114,98.42872340425532,1.3036749622225179,47.681507
Hanoi_seed3_ep48_084207,98.44617021276596,1.3059843235036643,47.757506
Hanoi_seed3_ep49_084259,98.62042553191489,1.2955104545276594,47.290788
Hanoi_seed3_ep50_084352,98.6495744680851,1.3144534599287234,47.968098
Hanoi_seed3_ep51_084444,98.41340425531914,1.317517377214539,48.19529
Hanoi_seed3_ep52_084537,98.76744680851064,1.3002425175361112,47.392873
Hanoi_seed3_ep53_084629,99.48574468085106,1.3181081865212767,47.69718
Hanoi_seed3_ep54_084721,100.3,1.3320896771944444,47.811793
Hanoi_seed3_ep55_084814,100.00170212765958,1.3183788012193856,47.460829
Hanoi_seed3_ep56_084906,99.03851063829788,1.3048037665342789,47.42896
Hanoi_seed3_ep57_084959,98.44833333333334,1.3260778836083333,48.491226
Hanoi_seed3_ep58_085051,98.9063829787234,1.3101231527245865,47.685935
Hanoi_seed3_ep59_085144,99.3427659574468,1.321571303018617,47.891325
Hanoi_seed3_ep60_085236,98.8308510638298,1.3094016274813831,47.696097
Hanoi_seed3_ep61_085329,98.9572340425532,1.3248483830008866,48.197125
Hanoi_seed3_ep62_085421,98.36104166666668,1.3168433088372686,48.196276
Hanoi_seed3_ep63_085514,98.46085714285715,0.9673382362330954,35.368549
Hanoi_seed3_ep64_085554,98.63229166666666,1.3206838374157985,48.203907
Hanoi_seed3_ep65_085647,98.85914893617021,1.3077269188440899,47.621459
Hanoi_seed3_ep66_085739,99.20276595744681,1.3097501449343973,47.52993
Hanoi_seed3_ep67_085832,98.975,1.3399810379791666,48.738891
Hanoi_seed3_ep68_085924,99.93063829787233,1.322406758394681,47.639687
Hanoi_seed3_ep69_090017,99.85553191489362,1.3182465491569149,47.525535
Hanoi_seed3_ep70_090109,100.30191489361702,1.326310692907624,47.603463
Hanoi_seed3_ep71_090202,99.04872340425531,1.302684985831501,47.347061
Hanoi_seed3_ep72_090254,98.49604166666667,1.3298070695867477,48.604039
Hanoi_seed3_ep73_090347,99.20148936170213,1.3264222324643025,48.135568
Hanoi_seed3_ep74_090439,98.30978723404256,1.3000138356416076,47.605126
Hanoi_seed3_ep75_090531,99.00127659574468,1.320010888697518,47.999777
Hanoi_seed3_ep76_090624,99.67872340425532,1.3152310455218674,47.500927
Hanoi_seed3_ep77_090716,99.71562499999999,1.3565698084131943,48.975788
Hanoi_seed3_ep78_090809,99.71489361702127,1.3197094992978722,47.645382
Hanoi_seed3_ep79_090901,99.27638297872342,1.314654347475,47.672523
Hanoi_seed3_ep80_090954,99.02229166666666,1.33779017019375,48.635964
Hanoi_seed3_ep81_091046,99.21702127659574,1.312092631602837,47.608096
Hanoi_seed3_ep82_091139,99.05574468085106,1.3031476602978722,47.36052
Hanoi_seed3_ep83_091231,98.58595744680851,1.3132771221030732,47.956096
Hanoi_seed3_ep84_091324,99.26808510638297,1.3291292619574469,48.201447
Hanoi_seed3_ep85_091416,98.74148936170212,1.3161136821489359,47.983976
Hanoi_seed3_ep86_091509,99.06297872340426,1.304333154859811,47.400143
Hanoi_seed3_ep87_091602,98.52702127659576,1.308746493177128,47.819241
Hanoi_seed3_ep88_091654,98.89276595744681,1.3197128087957448,48.041594
Hanoi_seed3_ep89_091746,98.49808510638297,1.30066472401708,47.537909
Hanoi_seed3_ep90_091839,98.30489361702128,1.308712049705851,47.926031
Hanoi_seed3_ep91_091932,98.48531914893617,1.3138669545118793,48.026661
Hanoi_seed3_ep92_092024,97.80617021276596,1.2892360535799052,47.453548
Hanoi_seed3_ep93_092117,99.15659574468086,1.3109575603030734,47.595898
Hanoi_seed3_ep94_092210,97.69191489361702,1.2932578079877068,47.657251
Hanoi_seed3_ep95_092302,97.48489361702127,1.2896265203358157,47.624358
Hanoi_seed3_ep96_092355,97.94021276595744,1.297642199206383,47.697588
Hanoi_seed3_ep97_092448,97.54425531914893,1.2972850547867611,47.878024
Hanoi_seed3_ep98_092540,97.30234042553192,1.288332314114953,47.665825
Hanoi_seed3_ep99_092633,97.60702127659575,1.296535455822518,47.819589
Hanoi_seed3_ep100_092725,97.75659574468085,1.307406894468085,48.146775
